"","COUNTRY","DX_GROUP","LONG","LAT","YEAR_START","total","positive","prev","year","prev2"
"79","CAF","nod",16.083419,6.333461,1981,116,12,0.103448275862069,"1980s",10.3448275862069
"80","CAF","nod",16.28333,6.35,1981,175,23,0.131428571428571,"1980s",13.1428571428571
"81","CAF","nod",16.43333,7.25,1981,151,35,0.231788079470199,"1980s",23.1788079470199
"82","CAF","nod",18.583333,3.716667,2004,784,252,0.321428571428571,"2000s",32.1428571428571
"83","CAF","otherPrev",18.583333,3.716667,2004,63,39,0.619047619047619,"2000s",61.9047619047619
"84","CAF","skin",15.6333333,7.4666667,1990,618,22,0.0355987055016181,"1990s",3.55987055016181
"85","CAF","skin",15.6333333,7.4666667,1995,724,8,0.0110497237569061,"1990s",1.10497237569061
"86","CAF","skin",18.583333,3.716667,2004,784,78,0.0994897959183673,"2000s",9.94897959183673
"87","CAF","ss",15.583333,7.46666,1981,246,156,0.634146341463415,"1980s",63.4146341463415
"88","CAF","ss",15.63333,7.46666,1981,244,171,0.700819672131147,"1980s",70.0819672131148
"89","CAF","ss",15.6333333,7.4666667,1990,309,272,0.880258899676375,"1990s",88.0258899676375
"90","CAF","ss",15.6333333,7.4666667,1995,357,200,0.560224089635854,"1990s",56.0224089635854
"91","CAF","ss",15.65,6.983333,1981,100,69,0.69,"1980s",69
"92","CAF","ss",16.083419,6.333461,1981,116,42,0.362068965517241,"1980s",36.2068965517241
"93","CAF","ss",16.28333,6.35,1981,175,112,0.64,"1980s",64
"94","CAF","ss",16.43333,7.25,1981,151,91,0.602649006622517,"1980s",60.2649006622517
"95","CIV","eye",-6.083333,8.25,1975,1056,285,0.269886363636364,"1970s",26.9886363636364
"96","CIV","eye",-4.689444,7.8097222,1977,768,265,0.345052083333333,"1970s",34.5052083333333
"97","CIV","eye",-4,8.083333,1976,457,98,0.214442013129103,"1970s",21.4442013129103
"98","CIV","eye",-4,8.083333,1981,429,65,0.151515151515152,"1980s",15.1515151515152
"99","CIV","nod",-3.884904,6.383023,2014,369,140,0.37940379403794,"2010s",37.940379403794
"100","CIV","sero",-7.18333,8.500339,1977,90,84,0.933333333333333,"1970s",93.3333333333333
"101","CIV","sero",-7.1833,8.4833,1976,90,84,0.933333333333333,"1970s",93.3333333333333
"102","CIV","ss",-8.171944,7.433611,1990,461,290,0.629067245119306,"1990s",62.9067245119306
"103","CIV","ss",-8.150833,7.3975,1990,395,232,0.587341772151899,"1990s",58.7341772151899
"104","CIV","ss",-8.147778,7.304182,1990,166,119,0.716867469879518,"1990s",71.6867469879518
"105","CIV","ss",-8.125277,7.369722,1990,834,468,0.561151079136691,"1990s",56.1151079136691
"106","CIV","ss",-7.447777,6.5630556,1996,158,4,0.0253164556962025,"1990s",2.53164556962025
"107","CIV","ss",-7.1833,8.4833,1977,160,138,0.8625,"1970s",86.25
"108","CIV","ss",-6.6622,5.7925,1996,48,27,0.5625,"1990s",56.25
"109","CIV","ss",-6.6283332,5.6330556,1996,108,37,0.342592592592593,"1990s",34.2592592592593
"110","CIV","ss",-6.6280555,5.7291667,1996,96,12,0.125,"1990s",12.5
"111","CIV","ss",-6.592055,5.786456,1996,322,63,0.195652173913043,"1990s",19.5652173913043
"112","CIV","ss",-6.504323,5.843006,1983,109,52,0.477064220183486,"1980s",47.7064220183486
"113","CIV","ss",-6.356797,5.662167,1983,95,54,0.568421052631579,"1980s",56.8421052631579
"114","CIV","ss",-6.185476,5.400426,1983,78,52,0.666666666666667,"1980s",66.6666666666667
"115","CIV","ss",-6.083333,8.25,1975,410,300,0.731707317073171,"1970s",73.1707317073171
"116","CIV","ss",-6.071262,5.191033,1983,62,37,0.596774193548387,"1980s",59.6774193548387
"117","CIV","ss",-5.149722,6.308888,1977,120,51,0.425,"1970s",42.5
"118","CIV","ss",-4.97671,5.552711,1983,151,82,0.543046357615894,"1980s",54.3046357615894
"119","CIV","ss",-4.689444,7.8097222,1977,308,236,0.766233766233766,"1970s",76.6233766233766
"120","CIV","ss",-3.884904,6.383023,2014,738,306,0.414634146341463,"2010s",41.4634146341463
"121","CIV","ss",-3.882158,6.775754,1983,113,76,0.672566371681416,"1980s",67.2566371681416
"122","CIV","ss",-3.748908,5.51464,1983,345,238,0.689855072463768,"1980s",68.9855072463768
"123","CIV","ss",-3.720354,6.475942,1983,406,247,0.608374384236453,"1980s",60.8374384236453
"124","CIV","ss",-3.60614,5.714515,1983,140,108,0.771428571428571,"1980s",77.1428571428572
"125","CIV","ss",-3.577587,6.261791,1983,454,301,0.662995594713656,"1980s",66.2995594713656
"126","CIV","ss",-3.529997,6.0999888,1983,268,172,0.641791044776119,"1980s",64.1791044776119
"127","CMR","eye",9,5,1988,2376,420,0.176767676767677,"1980s",17.6767676767677
"128","CMR","eye",9,5,1989,2700,413,0.152962962962963,"1980s",15.2962962962963
"129","CMR","eye",9,5,1990,2292,433,0.18891797556719,"1990s",18.891797556719
"130","CMR","eye",9,5,1991,1692,304,0.179669030732861,"1990s",17.9669030732861
"131","CMR","eye",9.957054,4.578486,2015,64,13,0.203125,"2010s",20.3125
"132","CMR","eye",9.9708333,4.491111,2015,178,30,0.168539325842697,"2010s",16.8539325842697
"133","CMR","eye",10.233333,6.05,2002,226,51,0.225663716814159,"2000s",22.5663716814159
"134","CMR","eye",10.242308,6.025314,2002,192,73,0.380208333333333,"2000s",38.0208333333333
"135","CMR","eye",10.261059,6.006876,2002,184,46,0.25,"2000s",25
"136","CMR","eye",10.2675816,6.280064,2008,808,398,0.492574257425743,"2000s",49.2574257425743
"137","CMR","eye",11.228885,4.750683,2015,282,16,0.0567375886524823,"2010s",5.67375886524823
"138","CMR","eye",11.233374,4.4334836,2015,138,2,0.0144927536231884,"2010s",1.44927536231884
"139","CMR","eye",11.540022,4.163325,1982,68,0,0,"1980s",0
"140","CMR","eye",11.633333,4.416666,2015,94,8,0.0851063829787234,"2010s",8.51063829787234
"141","CMR","eye",11.65,4.283333,1982,151,4,0.0264900662251656,"1980s",2.64900662251656
"142","CMR","eye",13.357,8.987,2007,183,1,0.00546448087431694,"2000s",0.546448087431694
"143","CMR","eye",13.393,8.975,2007,150,1,0.00666666666666667,"2000s",0.666666666666667
"144","CMR","eye",13.407,8.979,2007,183,0,0,"2000s",0
"145","CMR","eye",13.432,9.005,2007,186,1,0.00537634408602151,"2000s",0.537634408602151
"146","CMR","eye",13.444,8.961,2007,198,1,0.00505050505050505,"2000s",0.505050505050505
"147","CMR","eye",13.446,8.934,2007,102,0,0,"2000s",0
"148","CMR","eye",13.880833,10.868888,1979,811,146,0.180024660912454,"1970s",18.0024660912454
"149","CMR","eye",13.983333,10.91666,1979,228,153,0.671052631578947,"1970s",67.1052631578947
"150","CMR","nod",8.8833333,5.35,2002,87,61,0.701149425287356,"2000s",70.1149425287356
"151","CMR","nod",8.9,5.3,2002,23,14,0.608695652173913,"2000s",60.8695652173913
"152","CMR","nod",8.9166667,5.3333333,2002,65,49,0.753846153846154,"2000s",75.3846153846154
"153","CMR","nod",8.9333333,5.4166667,2002,39,34,0.871794871794872,"2000s",87.1794871794872
"154","CMR","nod",8.95,5.45,2002,26,20,0.769230769230769,"2000s",76.9230769230769
"155","CMR","nod",8.95,5.4666,2011,82,25,0.304878048780488,"2010s",30.4878048780488
"156","CMR","nod",8.95,5.4666667,2002,68,55,0.808823529411765,"2000s",80.8823529411765
"157","CMR","nod",9,5,1988,1213,626,0.516075845012366,"1980s",51.6075845012366
"158","CMR","nod",9.0333333,5.6166667,2002,30,14,0.466666666666667,"2000s",46.6666666666667
"159","CMR","nod",9.05,5.05,2011,93,33,0.354838709677419,"2010s",35.4838709677419
"160","CMR","nod",9.09669,5.73338,2011,39,5,0.128205128205128,"2010s",12.8205128205128
"161","CMR","nod",9.1,5.56666,2011,60,23,0.383333333333333,"2010s",38.3333333333333
"162","CMR","nod",9.11888,5.71913,2011,80,8,0.1,"2010s",10
"163","CMR","nod",9.18333,5.09666,2011,101,21,0.207920792079208,"2010s",20.7920792079208
"164","CMR","nod",9.24125,4.65166,2011,34,23,0.676470588235294,"2010s",67.6470588235294
"165","CMR","nod",9.25617,4.46825,2011,66,9,0.136363636363636,"2010s",13.6363636363636
"166","CMR","nod",9.2602,4.6491,2011,66,40,0.606060606060606,"2010s",60.6060606060606
"167","CMR","nod",9.2657804,6.0499996,2002,86,48,0.558139534883721,"2000s",55.8139534883721
"168","CMR","nod",9.2666667,6.1166667,2002,252,132,0.523809523809524,"2000s",52.3809523809524
"169","CMR","nod",9.27426,4.6325,2011,32,17,0.53125,"2010s",53.125
"170","CMR","nod",9.28003,4.49959,2011,96,26,0.270833333333333,"2010s",27.0833333333333
"171","CMR","nod",9.2815,4.77192,2011,76,25,0.328947368421053,"2010s",32.8947368421053
"172","CMR","nod",9.28325,4.80318,2011,33,14,0.424242424242424,"2010s",42.4242424242424
"173","CMR","nod",9.28333,5.86666,2011,39,18,0.461538461538462,"2010s",46.1538461538462
"174","CMR","nod",9.2833333,5.8833333,2002,166,82,0.493975903614458,"2000s",49.3975903614458
"175","CMR","nod",9.28374,4.74523,2011,46,25,0.543478260869565,"2010s",54.3478260869565
"176","CMR","nod",9.29251,4.68737,2011,157,77,0.490445859872611,"2010s",49.0445859872611
"177","CMR","nod",9.29812,4.62503,2011,60,29,0.483333333333333,"2010s",48.3333333333333
"178","CMR","nod",9.29944,4.52274,2011,43,9,0.209302325581395,"2010s",20.9302325581395
"179","CMR","nod",9.31277,5.753408,1998,604,196,0.324503311258278,"1990s",32.4503311258278
"180","CMR","nod",9.3166667,6.0333333,2002,53,27,0.509433962264151,"2000s",50.9433962264151
"181","CMR","nod",9.32434,4.53364,2011,89,22,0.247191011235955,"2010s",24.7191011235955
"182","CMR","nod",9.3332,4.55092,2011,91,26,0.285714285714286,"2010s",28.5714285714286
"183","CMR","nod",9.34178,4.58773,2011,50,24,0.48,"2010s",48
"184","CMR","nod",9.34343,4.57106,2011,68,32,0.470588235294118,"2010s",47.0588235294118
"185","CMR","nod",9.36548,4.53776,2011,34,9,0.264705882352941,"2010s",26.4705882352941
"186","CMR","nod",9.3666,5.78333,2011,90,27,0.3,"2010s",30
"187","CMR","nod",9.41666,5.95,2011,32,16,0.5,"2010s",50
"188","CMR","nod",9.4199815,4.6258091,2004,764,340,0.445026178010471,"2000s",44.5026178010471
"189","CMR","nod",9.4199818,4.6257236,1998,764,339,0.443717277486911,"1990s",44.3717277486911
"190","CMR","nod",9.4199818,4.6257236,2004,858,284,0.331002331002331,"2000s",33.1002331002331
"191","CMR","nod",9.4333,4.88333,2011,59,25,0.423728813559322,"2010s",42.3728813559322
"192","CMR","nod",9.43333,4.83333,2011,70,38,0.542857142857143,"2010s",54.2857142857143
"193","CMR","nod",9.43333,4.86666,2011,95,50,0.526315789473684,"2010s",52.6315789473684
"194","CMR","nod",9.45,4.9,2011,45,18,0.4,"2010s",40
"195","CMR","nod",9.45,5,2011,97,30,0.309278350515464,"2010s",30.9278350515464
"196","CMR","nod",9.45997,4.4975,2011,101,12,0.118811881188119,"2010s",11.8811881188119
"197","CMR","nod",9.46444,4.54441,2011,101,15,0.148514851485149,"2010s",14.8514851485149
"198","CMR","nod",9.46666,4.81666,2011,88,25,0.284090909090909,"2010s",28.4090909090909
"199","CMR","nod",9.46666,4.91666,2011,73,33,0.452054794520548,"2010s",45.2054794520548
"200","CMR","nod",9.46666,4.96666,2011,100,34,0.34,"2010s",34
"201","CMR","nod",9.51666,4.96666,2011,78,26,0.333333333333333,"2010s",33.3333333333333
"202","CMR","nod",9.51666,4.98333,2011,88,25,0.284090909090909,"2010s",28.4090909090909
"203","CMR","nod",9.63333,5.71666,2011,60,25,0.416666666666667,"2010s",41.6666666666667
"204","CMR","nod",9.76666,5.76666,2011,85,50,0.588235294117647,"2010s",58.8235294117647
